Question;Answer
Quais serviços a empresa de telecomunicações oferece?;Nossa empresa oferece serviços de telefonia fixa, telefonia móvel, internet banda larga e TV por assinatura.
Como posso contratar os serviços da empresa?;Para contratar nossos serviços, você pode entrar em contato conosco pelo telefone, através do nosso site ou visitando uma de nossas lojas físicas.
Quais são os planos disponíveis para a telefonia móvel?;Temos diversos planos com diferentes franquias de dados, minutos e serviços adicionais. Entre em contato para conhecer as opções disponíveis em sua região.
A empresa oferece planos empresariais?;Sim, temos planos especiais para empresas, com benefícios e condições exclusivas para atender às necessidades corporativas.
Quais são as velocidades de internet oferecidas?;Nossos planos de internet oferecem diferentes velocidades de acordo com a disponibilidade técnica em sua região. Temos opções que vão de 10 Mbps a 500 Mbps.
É possível fazer a portabilidade do meu número para a empresa?;Sim, é possível fazer a portabilidade do seu número de telefone fixo ou móvel para nossa empresa. Entre em contato para obter mais informações.
Como posso verificar a cobertura de internet na minha área?;Para verificar a cobertura de internet em sua região, entre em contato conosco com o CEP ou endereço da sua localidade.
A empresa oferece suporte técnico?;Sim, nossa empresa oferece suporte técnico especializado para auxiliá-lo em questões relacionadas aos nossos serviços.
osso fazer a contratação de serviços adicionais, como canais extras na TV por assinatura?;Sim, você pode personalizar seu pacote de TV por assinatura adicionando canais extras de acordo com suas preferências.
Como posso efetuar o pagamento da minha fatura?;Aceitamos diversos métodos de pagamento, incluindo cartão de crédito, débito em conta e boleto bancário.
É possível fazer upgrade ou downgrade nos planos contratados?;Sim, você pode fazer o upgrade ou downgrade do seu plano a qualquer momento, conforme suas necessidades.
A empresa oferece descontos para pacotes combinados?;Sim, oferecemos descontos especiais para clientes que optam por contratar mais de um serviço da nossa empresa.
O que fazer em caso de falha no serviço de internet ou telefone?;Em caso de falha no serviço, entre em contato com nosso suporte técnico para que possamos solucionar o problema o mais rápido possível.
Como posso acompanhar meu consumo de internet e minutos de telefone?;Você pode acompanhar seu consumo através do nosso aplicativo ou acessando sua área do cliente no site.
A empresa oferece roteadores e equipamentos para internet?;Sim, fornecemos equipamentos para internet em comodato para nossos clientes.
É possível contratar serviços adicionais, como o serviço de streaming de filmes e séries?;Sim, oferecemos opções de streaming em parceria com diversas plataformas de entretenimento.
A empresa oferece atendimento em outros idiomas além do português?;No momento, nosso atendimento é realizado apenas em português.
Como posso solicitar a mudança de endereço dos serviços contratados?;Entre em contato com nosso atendimento para solicitar a mudança de endereço e verificar a disponibilidade na nova localidade.
É possível fazer a rescisão dos serviços a qualquer momento?;Sim, você pode solicitar a rescisão dos serviços a qualquer momento, seguindo as condições estabelecidas no contrato.
A empresa oferece planos para clientes que utilizam muitos dados móveis?;Sim, temos planos com franquias de dados maiores para atender às necessidades dos usuários que consomem mais internet móvel.
Quais são os benefícios de ser um cliente de longa data da empresa?;Oferecemos programas de fidelidade e benefícios exclusivos para clientes que permanecem conosco por um longo período.
A empresa disponibiliza serviços de telefonia internacional?;Sim, oferecemos opções para ligações internacionais, com tarifas competitivas.
É possível obter um número de telefone fixo em outra cidade ou estado?;Sim, você pode contratar um número de telefone fixo de outra cidade ou estado, dependendo da disponibilidade.
A empresa oferece serviço de fibra óptica?;Sim, nossa empresa oferece serviço de internet banda larga com tecnologia de fibra óptica em áreas cobertas.
Como posso agendar a visita de um técnico para instalação dos serviços?;Você pode agendar a visita de um técnico entrando em contato com nosso suporte técnico ou através do nosso site.
Quais são as opções de pacotes de TV por assinatura disponíveis?;Temos diferentes pacotes de TV por assinatura com variedade de canais para atender aos gostos de cada cliente.
A empresa oferece serviços de telefonia VoIP?;Sim, oferecemos serviços de telefonia VoIP para clientes corporativos.
Como posso acompanhar o status de uma solicitação ou chamado técnico?;Você pode acompanhar o status de suas solicitações e chamados através da área do cliente em nosso site.
A empresa oferece programas de incentivo para indicação de novos clientes?;Sim, temos programas de indicação que oferecem benefícios para clientes que indicam novos clientes para nossa empresa.
A empresa disponibiliza pacotes de internet com tráfego ilimitado?;Sim, temos opções de planos com tráfego ilimitado para atender às necessidades de nossos clientes.
